Date,RPI
1987 JAN,100
1987 FEB,100.4
1987 MAR,100.6
1987 APR,101.8
1987 MAY,101.9
1987 JUN,101.9
1987 JUL,101.8
1987 AUG,102.1
1987 SEP,102.4
1987 OCT,102.9
1987 NOV,103.4
1987 DEC,103.3
1988 JAN,103.3
1988 FEB,103.7
1988 MAR,104.1
1988 APR,105.8
1988 MAY,106.2
1988 JUN,106.6
1988 JUL,106.7
1988 AUG,107.9
1988 SEP,108.4
1988 OCT,109.5
1988 NOV,110
1988 DEC,110.3
1989 JAN,111
1989 FEB,111.8
1989 MAR,112.3
1989 APR,114.3
1989 MAY,115
1989 JUN,115.4
1989 JUL,115.5
1989 AUG,115.8
1989 SEP,116.6
1989 OCT,117.5
1989 NOV,118.5
1989 DEC,118.8
1990 JAN,119.5
1990 FEB,120.2
1990 MAR,121.4
1990 APR,125.1
1990 MAY,126.2
1990 JUN,126.7
1990 JUL,126.8
1990 AUG,128.1
1990 SEP,129.3
1990 OCT,130.3
1990 NOV,130
1990 DEC,129.9
1991 JAN,130.2
1991 FEB,130.9
1991 MAR,131.4
1991 APR,133.1
1991 MAY,133.5
1991 JUN,134.1
1991 JUL,133.8
1991 AUG,134.1
1991 SEP,134.6
1991 OCT,135.1
1991 NOV,135.6
1991 DEC,135.7
1992 JAN,135.6
1992 FEB,136.3
1992 MAR,136.7
1992 APR,138.8
1992 MAY,139.3
1992 JUN,139.3
1992 JUL,138.8
1992 AUG,138.9
1992 SEP,139.4
1992 OCT,139.9
1992 NOV,139.7
1992 DEC,139.2
1993 JAN,137.9
1993 FEB,138.8
1993 MAR,139.3
1993 APR,140.6
1993 MAY,141.1
1993 JUN,141
1993 JUL,140.7
1993 AUG,141.3
1993 SEP,141.9
1993 OCT,141.8
1993 NOV,141.6
1993 DEC,141.9
1994 JAN,141.3
1994 FEB,142.1
1994 MAR,142.5
1994 APR,144.2
1994 MAY,144.7
1994 JUN,144.7
1994 JUL,144
1994 AUG,144.7
1994 SEP,145
1994 OCT,145.2
1994 NOV,145.3
1994 DEC,146
1995 JAN,146
1995 FEB,146.9
1995 MAR,147.5
1995 APR,149
1995 MAY,149.6
1995 JUN,149.8
1995 JUL,149.1
1995 AUG,149.9
1995 SEP,150.6
1995 OCT,149.8
1995 NOV,149.8
1995 DEC,150.7
1996 JAN,150.2
1996 FEB,150.9
1996 MAR,151.5
1996 APR,152.6
1996 MAY,152.9
1996 JUN,153
1996 JUL,152.4
1996 AUG,153.1
1996 SEP,153.8
1996 OCT,153.8
1996 NOV,153.9
1996 DEC,154.4
1997 JAN,154.4
1997 FEB,155
1997 MAR,155.4
1997 APR,156.3
1997 MAY,156.9
1997 JUN,157.5
1997 JUL,157.5
1997 AUG,158.5
