Date,Rightmove_HPI
Dec 24,360197
Nov 24,366592
Oct 24,371958
Sep 24,370759
Aug 24,367785
Jul 24,373493
Jun 24,375110
May 24,375131
Apr 24,372324
Mar 24,368118
Feb 24,362839
Jan 24,359748
Dec 23,355177
Nov 23,362143
Oct 23,368231
Sep 23,366281
Aug 23,364895
Jul 23,371907
Jun 23,372812
May 23,372894
Apr 23,366247
Mar 23,365357
Feb 23,362452
Jan 23,362438
Dec 22,359137
Nov 22,366999
Oct 22,371158
Sep 22,367760
Aug 22,365173
Jul 22,369968
Jun 22,368614
May 22,367501
Apr 22,360101
Mar 22,354564
Feb 22,348804
Jan 22,341019
Dec 21,340167
Nov 21,342401
Oct 21,344445
Sep 21,338462
Aug 21,337371
Jul 21,338447
Jun 21,336073
May 21,333564
Apr 21,327797
Mar 21,321064
Feb 21,318580
Jan 21,317058
Dec 20,319945
Nov 20,322025
Oct 20,323530
Sep 20,319996
Aug 20,319497
Jul 20,320265
Jun 20,337884
May 20,
Apr 20,335950
Mar 20,331618
Feb 20,309399
Jan 20,306810
Dec 19,300025
Nov 19,302808
Oct 19,306712
Sep 19,304770
Aug 19,305500
Jul 19,308692
Jun 19,309348
May 19,308290
Apr 19,305449
Mar 19,302002
Feb 19,300715
Jan 19,298734
Dec 18,297527
Nov 18,302023
Oct 18,307245
Sep 18,304061
Aug 18,301973
Jul 18,309191
Jun 18,309439
May 18,308075
Apr 18,305732
Mar 18,304504
Feb 18,300001
Jan 18,297587
Dec 17,295520
Nov 17,311043
Oct 17,313435
Sep 17,310003
Aug 17,313663
Jul 17,316421
Jun 17,316109
May 17,317281
Apr 17,313655
Mar 17,310108
Feb 17,306231
Jan 17,300245
Dec 16,299159
Nov 16,305670
Oct 16,309122
Sep 16,306499
Aug 16,304222
Jul 16,307824
Jun 16,310471
May 16,308151
Apr 16,307033
Mar 16,303190
Feb 16,299287
Jan 16,290963
Dec 15,289452
Nov 15,292572
Oct 15,296549
Sep 15,294834
Aug 15,292284
Jul 15,294542
Jun 15,294351
May 15,285891
Apr 15,286133
Mar 15,281752
Feb 15,279004
Jan 15,273275
Dec 14,258424
Nov 14,267127
Oct 14,271669
Sep 14,264875
Aug 14,262401
Jul 14,270159
Jun 14,272275
May 14,272003
Apr 14,262594
Mar 14,255962
Feb 14,251964
Jan 14,243861
Dec 13,241455
Nov 13,246237
Oct 13,252418
Sep 13,245495
Aug 13,249199
Jul 13,253658
Jun 13,252798
May 13,249841
Apr 13,244706
Mar 13,239710
Feb 13,235741
Jan 13,229429
Dec 12,228989
Nov 12,236761
Oct 12,243168
Sep 12,234858
Aug 12,236260
Jul 12,242097
Jun 12,246235
May 12,243759
Apr 12,243737
Mar 12,236939
Feb 12,233252
Jan 12,224060
Dec 11,228989
Nov 11,232144
Oct 11,239672
Sep 11,233139
Aug 11,231543
Jul 11,236597
Jun 11,240394
