"Date","Price","Open","High","Low","Change %"
"01/12/2024","4.5070","4.2610","4.6035","4.2130","6.54%"
"01/11/2024","4.2305","4.4560","4.5450","4.2280","-4.68%"
"01/10/2024","4.4380","3.9880","4.5390","3.9220","11.26%"
"01/09/2024","3.9890","4.1360","4.1440","3.7610","-3.01%"
"01/08/2024","4.1130","3.7840","4.1360","3.4710","7.95%"
"01/07/2024","3.8100","4.2510","4.2620","3.8050","-9.69%"
"01/06/2024","4.2190","4.3990","4.4290","4.1000","-4.53%"
"01/05/2024","4.4190","4.5310","4.5710","4.1590","-1.91%"
"01/04/2024","4.5050","4.2560","4.5360","4.1410","8.37%"
"01/03/2024","4.1570","4.3200","4.3560","4.1000","-3.51%"
"01/02/2024","4.3080","4.2560","4.6800","4.1960","1.92%"
"01/01/2024","4.2270","4.0340","4.4590","4.0160","6.29%"
"01/12/2023","3.9770","4.6140","4.6230","3.9600","-13.37%"
"01/11/2023","4.5910","4.8140","4.8250","4.4200","-4.05%"
"01/10/2023","4.7850","4.9250","5.0720","4.7070","-2.51%"
"01/09/2023","4.9080","5.1590","5.2950","4.7460","-4.61%"
"01/08/2023","5.1450","4.9660","5.3390","4.8000","3.33%"
"01/07/2023","4.9790","5.2680","5.5600","4.7280","-5.40%"
"01/06/2023","5.2630","4.3510","5.3220","4.2500","21.55%"
"01/05/2023","4.3300","3.8170","4.5820","3.6600","14.55%"
"01/04/2023","3.7800","3.4630","3.8400","3.2900","9.85%"
"01/03/2023","3.4410","3.7320","3.8710","3.0160","-6.55%"
"01/02/2023","3.6820","3.4280","4.0600","3.1290","6.63%"
"01/01/2023","3.4530","3.5320","3.7350","3.2150","-6.85%"
"01/12/2022","3.7070","3.1800","3.7990","3.1700","13.02%"
"01/11/2022","3.2800","3.2490","3.4980","2.8980","0.18%"
"01/10/2022","3.2740","4.3800","4.4990","3.0840","-23.88%"
"01/09/2022","4.3010","3.0880","4.7610","2.9200","42.99%"
"01/08/2022","3.0080","1.7260","3.0760","1.5690","75.50%"
"01/07/2022","1.7140","1.8260","2.1680","1.5870","-8.73%"
"01/06/2022","1.8780","1.5110","2.3510","1.5110","19.01%"
"01/05/2022","1.5780","1.5350","1.7070","1.1860","-1.87%"
"01/04/2022","1.6080","1.3900","1.7880","1.3420","18.32%"
"01/03/2022","1.3590","1.0230","1.5150","0.7840","29.06%"
"01/02/2022","1.0530","1.0600","1.5650","1.0250","0.86%"
"01/01/2022","1.0440","0.6870","1.0580","0.6460","53.76%"
"01/12/2021","0.6790","0.5110","0.7270","0.3940","41.75%"
"01/11/2021","0.4790","0.7310","0.7600","0.3930","-32.54%"
"01/10/2021","0.7100","0.3910","0.8430","0.3840","72.75%"
