Date,Zoopla_HPI
1998-01,61000
1998-02,61286
1998-03,61448
1998-04,61844
1998-05,62294
1998-06,62823
1998-07,63160
1998-08,63431
1998-09,63610
1998-10,63872
1998-11,64137
1998-12,64385
1999-01,64494
1999-02,64732
1999-03,65047
1999-04,65611
1999-05,66149
1999-06,66791
1999-07,67414
1999-08,68134
1999-09,68894
1999-10,69781
1999-11,70652
1999-12,71529
2000-01,72287
2000-02,73154
2000-03,74069
2000-04,75181
2000-05,76249
2000-06,77195
2000-07,77871
2000-08,78425
2000-09,78917
2000-10,79393
2000-11,79801
2000-12,80315
2001-01,80786
2001-02,81486
2001-03,82138
2001-04,83158
2001-05,84122
2001-06,85285
2001-07,86198
2001-08,87158
2001-09,88125
2001-10,89128
2001-11,90189
2001-12,91218
2002-01,92297
2002-02,93517
2002-03,94919
2002-04,96772
2002-05,98774
2002-06,100981
2002-07,103083
2002-08,105228
2002-09,107296
2002-10,109452
2002-11,111566
2002-12,113524
2003-01,115265
2003-02,116899
2003-03,118592
2003-04,120269
2003-05,121859
2003-06,123387
2003-07,124750
2003-08,125920
2003-09,127075
2003-10,128447
2003-11,130032
2003-12,131601
2004-01,133149
2004-02,134817
2004-03,136770
2004-04,139079
2004-05,141654
2004-06,144106
2004-07,146256
2004-08,148026
2004-09,149464
2004-10,150521
2004-11,151215
2004-12,151749
2005-01,152017
2005-02,152308
2005-03,152664
2005-04,153276
2005-05,153782
2005-06,154163
2005-07,154415
2005-08,154731
2005-09,154943
2005-10,155258
2005-11,155641
2005-12,156082
2006-01,156435
2006-02,157026
2006-03,157963
2006-04,159141
2006-05,160317
2006-06,161581
2006-07,162738
2006-08,163792
2006-09,164632
2006-10,165873
2006-11,167098
2006-12,168305
2007-01,169224
2007-02,170290
2007-03,171723
2007-04,173327
2007-05,174928
2007-06,176371
2007-07,177472
2007-08,178449
2007-09,179006
2007-10,179676
2007-11,179958
2007-12,180145
2008-01,179743
2008-02,179263
2008-03,178598
2008-04,178007
2008-05,177135
2008-06,175903
2008-07,174038
2008-08,171801
2008-09,169338
2008-10,166914
2008-11,164342
2008-12,161852
2009-01,159628
2009-02,157849
2009-03,156450
2009-04,155756
2009-05,155582
2009-06,156055
2009-07,156697
2009-08,157510
2009-09,158318
2009-10,159310
2009-11,160464
2009-12,161401
2010-01,162342
2010-02,163047
2010-03,163817
2010-04,164395
2010-05,164939
2010-06,165536
2010-07,165902
2010-08,166200
2010-09,166086
2010-10,165857
2010-11,165344
2010-12,164869
2011-01,164419
2011-02,164186
2011-03,164085
2011-04,164035
2011-05,164015
2011-06,164027
2011-07,163985
2011-08,163792
2011-09,163608
2011-10,163437
2011-11,163253
2011-12,163025
2012-01,162781
2012-02,162867
2012-03,163000
2012-04,163358
2012-05,163570
2012-06,163804
2012-07,163910
2012-08,163849
2012-09,163833
2012-10,163861
2012-11,163871
2012-12,163795
2013-01,163839
2013-02,164256
2013-03,164865
2013-04,165464
2013-05,166126
2013-06,166820
2013-07,167415
2013-08,167986
2013-09,168552
2013-10,169370
2013-11,170070
2013-12,170857
2014-01,171801
2014-02,173189
2014-03,174784
2014-04,176456
2014-05,177967
2014-06,179332
2014-07,180309
2014-08,181048
2014-09,181679
2014-10,182223
2014-11,182539
2014-12,182800
2015-01,183215
2015-02,183990
2015-03,184845
2015-04,185831
2015-05,186854
2015-06,187873
2015-07,188886
2015-08,189787
2015-09,190739
2015-10,191652
2015-11,192585
2015-12,193489
2016-01,194457
2016-02,195600
2016-03,196792
2016-04,198222
2016-05,199443
2016-06,200602
2016-07,201283
2016-08,201823
2016-09,202165
2016-10,202605
2016-11,203103
2016-12,203662
2017-01,204139
2017-02,204899
2017-03,205776
2017-04,206843
2017-05,207693
2017-06,208588
2017-07,209221
2017-08,209643
2017-09,209930
2017-10,210350
2017-11,210845
2017-12,211154
2018-01,211440
2018-02,211894
2018-03,212529
2018-04,213181
2018-05,213859
2018-06,214465
2018-07,214892
2018-08,215125
2018-09,215237
2018-10,215291
2018-11,215221
2018-12,215112
2019-01,215119
2019-02,215353
2019-03,215739
2019-04,216126
2019-05,216443
2019-06,216767
2019-07,217143
2019-08,217584
2019-09,217982
2019-10,218265
2019-11,218277
2019-12,218418
2020-01,218758
2020-02,219632
2020-03,220597
2020-04,221577
2020-05,222016
2020-06,222567
2020-07,223282
2020-08,224606
2020-09,225829
2020-10,226904
2020-11,227731
2020-12,228567
2021-01,229520
2021-02,230536
2021-03,231888
2021-04,233534
2021-05,235454
2021-06,237566
2021-07,239345
2021-08,241166
2021-09,242840
2021-10,244658
2021-11,246352
2021-12,247815
2022-01,249462
2022-02,251435
2022-03,253633
2022-04,256025
2022-05,258269
2022-06,260444
2022-07,262468
2022-08,263981
2022-09,265000
2022-10,264759
2022-11,263916
2022-12,262482
2023-01,261203
2023-02,260849
2023-03,260819
2023-04,261478
2023-05,261491
2023-06,261500
2023-07,265100
2023-08,265100
2023-09,264900
2023-10,264600
2023-11,264400
2023-12,264400
2024-01,263800
2024-02,264200
2024-03,264500
2024-04,264800
2024-05,265400
2024-06,265600
2024-07,266400
2024-08,267400
2024-09,267500
2024-10,267200
